,belongs_to_collection,genres,original_language,popularity,production_companies,runtime,spoken_languages,title,vote_average
69,From Dusk Till Dawn Collection,"['Horror', 'Action', 'Thriller', 'Crime']",en,15.339153,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",108.0,"['English', 'Español']",From Dusk Till Dawn,6.9
75,Screamers Collection,"['Horror', 'Science Fiction']",en,12.758848,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']",108.0,['English'],Screamers,6.1
105,The Muppet Collection,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",en,6.902423,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",100.0,['English'],Muppet Treasure Island,6.5
124,The Neverending Story Collection,['Fantasy'],en,6.252377,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']",95.0,['English'],The Neverending Story III: Escape from Fantasia,4.4
142,Bad Boys Collection,"['Action', 'Comedy', 'Crime', 'Thriller']",en,9.262184,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",118.0,['English'],Bad Boys,6.5
150,Batman Collection,"['Action', 'Crime', 'Fantasy']",en,13.321354,"['Warner Bros.', 'Polygram Filmed Entertainment']",121.0,['English'],Batman Forever,5.2
153,Brooklyn Cigar Store Collection,['Comedy'],en,11.528147,"['Miramax Films', 'InterAL']",83.0,['English'],Blue in the Face,6.8
155,Casper Collection,"['Fantasy', 'Comedy', 'Family']",en,12.812539,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",100.0,['English'],Casper,6.0
160,Mexico Trilogy,"['Thriller', 'Action', 'Crime']",en,6.950458,"['Columbia Pictures', 'Los Hooligans Productions']",104.0,['English'],Desperado,6.8
162,Die Hard Collection,"['Action', 'Thriller']",en,15.138855,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",128.0,"['English', 'Deutsch', 'Română']",Die Hard: With a Vengeance,6.9
163,Teenage Apocalypse Trilogy,"['Action', 'Comedy', 'Crime', 'Drama']",en,7.120806,"['Why Not Productions', 'Desperate Pictures', 'Blurco', 'The Teen Angst Movie Company']",80.0,['English'],The Doom Generation,5.6
166,Free Willy Collection,['Adventure'],en,7.575098,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']",95.0,"['English', 'Bahasa indonesia', 'Bahasa melayu']",Free Willy 2 - The Adventure Home,5.5
178,Power Rangers Collection,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",en,7.024227,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']",92.0,['English'],Mighty Morphin Power Rangers: The Movie,5.2
182,Síť (kolekce),"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",en,13.304342,['Columbia Pictures'],114.0,"['English', 'Español']",The Net,5.6
185,The Prophecy Collection,"['Fantasy', 'Horror', 'Thriller']",en,10.187623,['Dimension Films'],98.0,['English'],The Prophecy,6.4
190,Showgirls Collection,['Drama'],en,17.502375,"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']",128.0,['English'],Showgirls,4.9
191,Brooklyn Cigar Store Collection,"['Comedy', 'Drama']",en,5.552946,['Miramax Films'],112.0,['English'],Smoke,7.2
193,Species Collection,"['Science Fiction', 'Horror', 'Action']",en,13.492845,['Metro-Goldwyn-Mayer (MGM)'],108.0,['English'],Species,5.5
201,Under Siege Collection,"['Action', 'Thriller']",en,7.490247,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']",100.0,['English'],Under Siege 2: Dark Territory,5.6
210,Burnt by the Sun Trilogy,['Drama'],ru,2.486073,"['Canal+', 'Studio Trite', 'Caméra One']",135.0,['Pусский'],Burnt by the Sun,6.7
212,Before... Collection,"['Drama', 'Romance']",en,11.304979,"['Detour Film Production', 'Warner Bros.']",105.0,"['English', 'Deutsch', 'Français']",Before Sunrise,7.7
219,Clerks Collection,['Comedy'],en,10.513367,"['Miramax Films', 'View Askew Productions']",92.0,['English'],Clerks,7.4
227,Dumb and Dumber Collection,['Comedy'],en,9.844558,"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']",107.0,['English'],Dumb and Dumber,6.5
235,A Goofy Movie Collection,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",en,10.177977,['Walt Disney Pictures'],78.0,['English'],A Goofy Movie,6.7
249,The Vampire Chronicles,"['Horror', 'Romance']",en,11.970205,['Geffen Pictures'],123.0,"['English', 'Français']",Interview with the Vampire,7.2
256,Star Wars Collection,"['Adventure', 'Action', 'Science Fiction']",en,42.149697,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",121.0,['English'],Star Wars,8.1
282,Nemesis Collection,"['Science Fiction', 'Action', 'Thriller']",en,1.466491,"['Filmwerks', 'Imperial Entertainment']",83.0,['English'],Nemesis 2 - Nebula,4.6
286,Once were Warriors Collection,['Drama'],en,4.025276,"['Avalon Studios', 'New Zealand Film Commission', 'New Zealand On Air']",99.0,"['English', '']",Once Were Warriors,7.6
287,Poison Ivy Collection,"['Drama', 'Romance', 'Thriller']",en,6.448039,"['New Line Cinema', 'CineTel Pictures', 'MG Entertainment']",106.0,['English'],Poison Ivy II: Lily,4.6
302,Three Colors Collection,"['Drama', 'Mystery', 'Romance']",fr,7.832755,"['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'Télévision Suisse-Romande']",99.0,['Français'],Three Colors: Red,7.8
303,Three Colors Collection,"['Drama', 'Music', 'Mystery']",fr,8.843517,"['France 3 Cinéma', 'CED Productions']",98.0,"['Français', 'Polski']",Three Colors: Blue,7.7
304,Three Colors Collection,"['Comedy', 'Drama', 'Mystery']",fr,6.5898,"['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages']",91.0,"['Français', 'Magyar', 'Polski']",Three Colors: White,7.3
309,Swan Princess Series,['Animation'],en,8.910462,['Rich Animation Studios'],89.0,['English'],The Swan Princess,6.5
313,The Santa Clause Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']",en,9.665424,"['Walt Disney Pictures', 'Hollywood Pictures']",97.0,['English'],The Santa Clause,6.3
323,Tales from the Crypt Collection,"['Horror', 'Comedy', 'Thriller']",en,9.455342,"['Universal Pictures', 'Tales From The Crypt Holdings']",92.0,['English'],Tales from the Crypt: Demon Knight,6.7
324,Star Trek: The Next Generation Collection,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",en,8.105708,['Paramount Pictures'],118.0,['English'],Star Trek: Generations,6.4
339,Ace Ventura Collection,"['Comedy', 'Mystery']",en,11.247957,"['Warner Bros.', 'Morgan Creek Productions']",86.0,['English'],Ace Ventura: Pet Detective,6.4
344,The Jack Ryan Collection,"['Action', 'Drama', 'Thriller']",en,7.513245,"['Paramount Pictures', 'Mace Neufeld Productions']",141.0,['English'],Clear and Present Danger,6.4
348,The Crow Collection,"['Fantasy', 'Action', 'Thriller']",en,15.799336,"['Miramax Films', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Edward R. Pressman Film']",102.0,['English'],The Crow,7.3
350,The Flintstones (Live-Action) Collection,"['Fantasy', 'Comedy', 'Family']",en,15.019586,"['Universal Pictures', 'Amblin Entertainment', 'Hanna-Barbera Productions']",91.0,['English'],The Flintstones,5.0
359,The Lion King Collection,"['Family', 'Animation', 'Drama']",en,21.605761,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",89.0,['English'],The Lion King,8.0
361,A Nightmare on Elm Street Collection,"['Horror', 'Thriller', 'Mystery', 'Fantasy']",en,9.860522,['New Line Cinema'],112.0,['English'],New Nightmare,6.4
362,The Mask Collection,"['Romance', 'Comedy', 'Crime', 'Fantasy']",en,14.13488,"['New Line Cinema', 'Dark Horse Entertainment']",101.0,"['svenska', 'English']",The Mask,6.6
365,Naked Gun Collection,"['Comedy', 'Crime']",en,10.587232,['Paramount Pictures'],83.0,['English'],The Naked Gun 33⅓: The Final Insult,6.4
369,Richie Rich Collection,"['Comedy', 'Family']",en,6.595255,"['Davis Entertainment', 'Silver Pictures', 'Warner Bros.']",95.0,"['English', 'Latin']",Ri¢hie Ri¢h,5.4
372,Speed Collection,"['Action', 'Adventure', 'Crime']",en,10.859292,['Twentieth Century Fox Film Corporation'],116.0,['English'],Speed,6.8
374,Timecop Collection,"['Thriller', 'Science Fiction', 'Action', 'Crime']",en,8.907074,"['Universal Pictures', 'Renaissance Pictures', 'Dark Horse Entertainment', 'Largo Entertainment', 'Signature Pictures', 'JVC Entertainment Networks']",99.0,['English'],Timecop,5.5
388,Street Fighter,"['Action', 'Adventure', 'Thriller']",en,13.58449,"['Universal Pictures', 'Capcom']",102.0,"['English', '日本語']",Street Fighter,4.1
392,Fear Collection,"['Horror', 'Thriller']",en,0.268043,"['A-Pix Entertainment', 'Devin Entertainment']",98.0,['English'],The Fear,3.4
400,Highlander Collection,"['Action', 'Fantasy', 'Science Fiction']",en,6.866634,"['Trans-Film', 'Initial Groupe', 'Lumière Pictures', 'Fallingcloud']",99.0,['English'],Highlander: The Final Dimension,4.5
405,Addams Family Collection,"['Comedy', 'Family', 'Fantasy']",en,17.555909,"['Paramount Pictures', 'Orion Pictures', 'Scott Rudin Productions']",94.0,['English'],Addams Family Values,6.5
410,Stakeout Collection,"['Action', 'Comedy']",en,12.967239,['Touchstone Pictures'],105.0,['English'],Another Stakeout,4.9
415,Beverly Hills Cop Collection,"['Action', 'Comedy', 'Crime']",en,11.787784,"['Paramount Pictures', 'Eddie Murphy Productions']",104.0,['English'],Beverly Hills Cop III,5.5
427,City Slickers Collection,"['Action', 'Comedy', 'Drama', 'Western']",en,8.605703,"['Columbia Pictures', 'Castle Rock Entertainment']",116.0,"['English', 'Italiano', 'Pусский']",City Slickers II: The Legend of Curly's Gold,4.9
450,Free Willy Collection,"['Family', 'Adventure']",en,5.990572,"['Canal Plus', 'Regency Enterprises', 'Alcor Films', 'Warner Bros.', 'Donner/Shuler-Donner Productions']",112.0,['English'],Free Willy,6.0
452,The Fugitive / U.S. Marshals Collection,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",en,10.08937,['Warner Bros.'],130.0,['English'],The Fugitive,7.2
459,Hard Target Collection,"['Action', 'Adventure', 'Crime', 'Thriller']",en,7.834351,"['Universal Pictures', 'Renaissance Pictures', 'Alphaville Films']",97.0,['English'],Hard Target,6.1
461,Hot Shots! Collection,"['Action', 'Comedy', 'War']",en,13.482371,"['Twentieth Century Fox Film Corporation', 'Sidley Wright & Associates']",86.0,['English'],Hot Shots! Part Deux,6.2
475,Jurassic Park Collection,"['Adventure', 'Science Fiction']",en,8.863776,"['Universal Pictures', 'Amblin Entertainment']",127.0,"['English', 'Español']",Jurassic Park,7.6
497,The Karate Kid Collection,['Adventure'],en,9.9697,['Columbia Pictures Corporation'],107.0,['English'],The Next Karate Kid,4.8
514,RoboCop Collection,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",en,8.685798,['Orion Pictures'],104.0,"['English', '日本語']",RoboCop 3,4.2
526,The Secret Garden Collection,"['Drama', 'Family', 'Fantasy']",en,6.499523,"['American Zoetrope', 'Warner Bros.']",102.0,['English'],The Secret Garden,7.1
528,The Shadow Collection,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",en,7.881107,['Universal Pictures'],108.0,['English'],The Shadow,5.4
536,Blade Runner Collection,"['Science Fiction', 'Drama', 'Thriller']",en,96.272374,"['Shaw Brothers', 'Warner Bros.', 'The Ladd Company']",117.0,"['English', 'Deutsch', '广州话 / 廣州話', '日本語', 'Magyar']",Blade Runner,7.9
578,The Brady Bunch Collection,['Comedy'],en,4.233092,['Paramount Pictures'],84.0,"['Italiano', 'Deutsch', 'English', 'Magyar']",The Brady Bunch Movie,5.9
579,Home Alone Collection,"['Comedy', 'Family']",en,0.702543,"['Twentieth Century Fox Film Corporation', 'Hughes Entertainment']",103.0,['English'],Home Alone,7.1
581,Aladdin Collection,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",en,16.357419,['Walt Disney Pictures'],90.0,['English'],Aladdin,7.4
582,The Terminator Collection,"['Action', 'Thriller', 'Science Fiction']",en,22.661695,"['Lightstorm Entertainment', 'Pacific Western', 'Canal+', 'Carolco Pictures', 'T2 Productions']",137.0,"['English', 'Español']",Terminator 2: Judgment Day,7.7
585,Batman Collection,"['Fantasy', 'Action']",en,19.10673,"['PolyGram Filmed Entertainment', 'The Guber-Peters Company', 'Warner Bros.']",126.0,"['English', 'Français']",Batman,7.0
586,The Hannibal Lecter Anthology,"['Crime', 'Drama', 'Thriller']",en,4.307222,"['Orion Pictures', 'Strong Heart/Demme Production']",119.0,['English'],The Silence of the Lambs,8.1
588,Beauty and the Beast Collection,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",en,23.433511,"['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Silver Screen Partners IV']",84.0,"['Français', 'English']",Beauty and the Beast,7.5
598,Candyman Collection,['Horror'],en,4.983552,"['Propaganda Films', 'PolyGram Filmed Entertainment']",93.0,['English'],Candyman: Farewell to the Flesh,5.0
602,Heavy Metal Collection,"['Animation', 'Science Fiction']",en,7.640073,['Canadian Film Development Corporation (CFDC)'],90.0,"['English', 'Magyar']",Heavy Metal,6.3
603,Hellraiser Collection,"['Horror', 'Thriller', 'Science Fiction']",en,5.263187,"['Miramax Films', 'Dimension Films', 'Trans Atlantic Entertainment']",86.0,['English'],Hellraiser: Bloodline,4.9
622,All Dogs Go to Heaven Collection,"['Romance', 'Animation', 'Family', 'Adventure', 'Fantasy']",en,5.028897,['Metro-Goldwyn-Mayer (MGM)'],82.0,['English'],All Dogs Go to Heaven 2,5.0
638,Mission: Impossible Collection,"['Adventure', 'Action', 'Thriller']",en,15.793477,"['Paramount Pictures', 'Cruise/Wagner Productions']",110.0,"['English', 'Français', 'Český']",Mission: Impossible,6.7
643,DragonHeart Collection,['Fantasy'],en,23.63659,['Universal Pictures'],103.0,['English'],DragonHeart,6.4
657,Bloodsport Collection,"['Action', 'Thriller']",en,3.085207,['FM Entertainment International N.V.'],90.0,['English'],Bloodsport II,5.2
658,The Apu Collection,['Drama'],bn,3.900709,['Government of West Bengal'],125.0,['বাংলা'],Pather Panchali,7.9
659,The Apu Collection,['Drama'],bn,2.381806,['Satyajit Ray Productions'],117.0,['বাংলা'],The World of Apu,8.2
668,Lemmy Caution Collection,"['Drama', 'Science Fiction', 'Mystery']",fr,4.658149,"['Filmstudio', 'Athos Films', 'Chaumiane']",100.0,['Français'],Alphaville,6.8
680,The Substitute Collection,"['Action', 'Thriller']",en,10.68537,['Live Entertainment'],114.0,"['Italiano', 'English']",The Substitute,5.8
704,The Visitors Collection,"['Fantasy', 'Comedy', 'Science Fiction']",fr,7.326169,"['Canal Plus', 'Gaumont International', 'France 3 Cinema']",107.0,['Français'],The Visitors,7.1
723,Ghost in the Shell Collection,"['Action', 'Animation', 'Science Fiction']",ja,10.686166,"['Bandai Visual Company', 'Kodansha', 'Production I.G.']",83.0,['日本語'],Ghost in the Shell,7.8
727,Wallace & Gromit Collection,"['Family', 'Animation', 'Comedy']",en,6.796858,['Aardman Animations'],30.0,['English'],A Close Shave,7.5
730,The Arrival Collection,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",en,6.497591,"['Live Entertainment', 'Steelwork Films', 'Mediaworks']",115.0,['English'],The Arrival,6.1
753,"Martin Scorsese’s World Cinema Project, Vol. 1","['Drama', 'Romance']",wo,0.043903,"['Studio Kankourama', 'Cinegrit']",85.0,"['العربية', 'Français', 'Wolof']",Touki Bouki,7.3
758,Trainspotting Collection,"['Drama', 'Crime']",en,19.348466,"['Miramax Films', 'Channel Four Films', 'Noel Gay Motion Picture Company', 'Figment Films', 'Film4']",93.0,['English'],Trainspotting,7.8
760,Independence Day Collection,"['Action', 'Adventure', 'Science Fiction']",en,17.634197,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment']",145.0,['English'],Independence Day,6.7
763,The Hunchback of Notre Dame Collection,"['Drama', 'Animation', 'Family']",en,13.553999,['Walt Disney Pictures'],91.0,"['Latin', 'English']",The Hunchback of Notre Dame,6.8
768,The Nutty Professor Collection,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",en,9.651581,"['Imagine Entertainment', 'Universal Pictures']",95.0,['English'],The Nutty Professor,5.4
795,The Brady Bunch Collection,['Comedy'],en,9.898696,['Paramount Pictures'],90.0,['English'],A Very Brady Sequel,5.8
815,The Crow Collection,"['Action', 'Fantasy', 'Thriller']",en,6.554679,['Miramax Films'],84.0,"['English', 'Deutsch']",The Crow: City of Angels,5.2
818,Tales from the Crypt Collection,"['Horror', 'Comedy']",en,3.450402,"['Universal Pictures', 'Tales From The Crypt Holdings', 'Universal City Studios']",87.0,"['English', 'Español']",Bordello of Blood,5.0
825,Escape From ... Collection,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,12.229381,"['Paramount Pictures', 'Rysher Entertainment']",97.0,['English'],Escape from L.A.,5.6
834,The Godfather Collection,"['Drama', 'Crime']",en,41.109264,"['Paramount Pictures', 'Alfran Productions']",175.0,"['English', 'Italiano', 'Latin']",The Godfather,8.5
836,Police Story Collection,"['Action', 'Crime', 'Thriller']",cn,6.751864,"['Golden Harvest Company', 'Golden Way Films Ltd.']",95.0,"['广州话 / 廣州話', 'English', 'Bahasa melayu', 'ภาษาไทย']",Police Story 3: Supercop,6.7
850,Police Story Collection,"['Action', 'Adventure', 'Crime']",cn,1.262539,['Golden Harvest Company'],104.0,['广州话 / 廣州話'],Project S,5.8
861,The Land Before Time Collection,"['Animation', 'Adventure', 'Family']",en,6.372442,['Universal Cartoon Studios'],71.0,['English'],The Land Before Time III: The Time of the Great Giving,6.1
864,Halloween Collection,"['Horror', 'Thriller']",en,8.768288,['Miramax Films'],88.0,['English'],Halloween: The Curse of Michael Myers,5.0
897,The Space Odyssey Series,"['Science Fiction', 'Mystery', 'Adventure']",en,22.494622,"['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer (MGM)']",149.0,"['English', 'Pусский']",2001: A Space Odyssey,7.9
923,The Thin Man Collection,"['Comedy', 'Crime', 'Mystery']",en,10.573867,['Metro-Goldwyn-Mayer (MGM)'],93.0,['English'],The Thin Man,7.4
941,Living Dead Collection,['Horror'],en,14.384198,"['Laurel Group', 'Off Color Films', 'Image Ten', 'Market Square Productions']",96.0,['English'],Night of the Living Dead,7.5
952,In the Line of Duty Collection,"['Action', 'Foreign']",cn,1.060097,['D & B Films Co. Ltd.'],93.0,"['广州话 / 廣州話', 'English']","Yes, Madam",7.4
976,The Mighty Ducks Collection,"['Action', 'Comedy', 'Drama', 'Family']",en,5.511475,['Walt Disney'],104.0,['English'],D3: The Mighty Ducks,5.3
978,The Apple Dumpling Gang Collection,"['Comedy', 'Family']",en,4.040945,['Walt Disney Productions'],100.0,"['English', 'Deutsch']",The Apple Dumpling Gang,6.6
979,Davy Crockett Collection,"['Action', 'Adventure', 'Family', 'Western']",en,5.497359,['Walt Disney Productions'],93.0,"['Español', 'English']","Davy Crockett, King of the Wild Frontier",5.9
980,Witch Mountain Collection,"['Adventure', 'Fantasy', 'Science Fiction', 'Family']",en,7.151691,['Walt Disney Productions'],97.0,['English'],Escape to Witch Mountain,6.5
981,Herbie Collection,"['Comedy', 'Family', 'Fantasy']",en,10.091707,['Walt Disney Productions'],107.0,"['Español', 'English', '广州话 / 廣州話']",The Love Bug,6.0
982,Herbie Collection,"['Romance', 'Comedy', 'Family', 'Fantasy']",en,4.914603,['Walt Disney Pictures'],88.0,['English'],Herbie Rides Again,5.9
984,Parent Trap Collection,"['Comedy', 'Family']",en,5.807074,['Walt Disney Pictures'],129.0,['English'],The Parent Trap,6.8
986,Homeward Bound Collection,"['Adventure', 'Comedy', 'Drama', 'Family']",en,7.186506,"['Walt Disney Pictures', 'Touchwood Pacific Partners 1']",84.0,['English'],Homeward Bound: The Incredible Journey,6.6
987,The Shaggy Dog Collection,"['Comedy', 'Family']",en,3.404213,['Walt Disney Productions'],104.0,['English'],The Shaggy Dog,6.2
993,Cinderella Collection,"['Family', 'Fantasy', 'Animation', 'Romance']",en,14.436858,"['RKO Radio Pictures', 'Walt Disney Productions']",74.0,['English'],Cinderella,6.8
995,Caballeros Collection,"['Animation', 'Family', 'Music']",en,8.702472,['Walt Disney Pictures'],71.0,"['English', 'Português', 'Español']",The Three Caballeros,6.2
1004,The Fox and the Hound Collection,"['Adventure', 'Animation', 'Drama', 'Family']",en,10.197106,['Walt Disney Productions'],82.0,['English'],The Fox and the Hound,7.0
1005,Freeway Collection,"['Comedy', 'Drama', 'Thriller']",en,7.088533,"['The Kushner-Locke Company', 'August Entertainment', 'Multicom entertainment']",110.0,['English'],Freeway,6.5
1007,Die Hard Collection,"['Action', 'Thriller']",en,16.640522,"['Twentieth Century Fox Film Corporation', 'Gordon Company', 'Silver Pictures']",131.0,"['English', 'Deutsch', 'Italiano']",Die Hard,7.5
1008,The Lawnmower Man Collection,"['Horror', 'Thriller', 'Science Fiction']",en,6.685948,"['New Line Cinema', 'Allied Vision']",108.0,['English'],The Lawnmower Man,5.4
1034,Aladdin Collection,"['Adventure', 'Animation', 'Family']",en,8.654244,['Walt Disney Television Animation'],81.0,['English'],Aladdin and the King of Thieves,6.1
1056,Dirty Dancing Collection,"['Drama', 'Music', 'Romance']",en,14.044122,"['Great American Films Limited Partnership', 'Vestron Pictures']",100.0,['English'],Dirty Dancing,7.1
1059,Weekend at Bernie's Collection,['Comedy'],en,8.051891,['Gladden Entertainment'],97.0,['English'],Weekend at Bernie's,6.4
1060,Basic Instinct Collection,"['Thriller', 'Mystery']",en,16.628427,"['TriStar Pictures', 'Canal+', 'Carolco Pictures']",127.0,['English'],Basic Instinct,6.5
1073,Children of the Corn Collection,['Horror'],en,7.97048,['Dimension Films'],85.0,['English'],Children of the Corn IV: The Gathering,4.6
1090,The Pink Panther (Original) Collection,"['Mystery', 'Comedy', 'Crime']",en,6.501177,"['United Artists', 'Jewel Productions', 'Pimlico Films', 'Incorporated Television Company (ITC)']",113.0,['English'],The Return of the Pink Panther,6.7
1094,Escape From ... Collection,"['Science Fiction', 'Action']",en,10.124544,"['AVCO Embassy Pictures', 'Goldcrest Films International', 'International Film Investors', 'City Film']",99.0,['English'],Escape from New York,6.9
1095,The Howling Collection,"['Drama', 'Horror']",en,6.715512,"['AVCO Embassy Pictures', 'International Film Investors', 'Wescom Productions']",91.0,['English'],The Howling,6.4
1096,The Water of the Hills Collection,['Drama'],fr,4.883274,"['Renn Productions', 'Films A2', 'DD Productions', 'AMLF', 'Télévision Suisse-Romande (TSR)', 'RAI Radiotelevisione Italiana']",120.0,"['Italiano', 'Français']",Jean de Florette,7.6
1097,The Water of the Hills Collection,['Drama'],fr,5.939394,"['Renn Productions', 'Films A2', 'DD Productions', 'AMLF', 'RAI Radiotelevisione Italiana']",120.0,['Français'],Manon of the Spring,7.8
1110,Wallace & Gromit Collection,"['Animation', 'Comedy', 'Family']",en,7.771233,['Aardman Animations'],30.0,['English'],The Wrong Trousers,7.6
1153,Cheech & Chong Collection,['Comedy'],en,7.194364,['Paramount Pictures'],86.0,['English'],Up in Smoke,6.7
1154,Star Wars Collection,"['Adventure', 'Action', 'Science Fiction']",en,19.470959,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",124.0,['English'],The Empire Strikes Back,8.2
1156,Indiana Jones Collection,"['Adventure', 'Action']",en,19.901576,"['Lucasfilm', 'Paramount Pictures']",115.0,"['English', 'Español', 'Deutsch', 'עִבְרִית', 'العربية', '']",Raiders of the Lost Ark,7.7
1158,Alien Collection,"['Horror', 'Action', 'Thriller', 'Science Fiction']",en,21.761179,"['Twentieth Century Fox Film Corporation', 'SLM Production Group', 'Brandywine Productions']",137.0,['English'],Aliens,7.7
1159,The Man With No Name Collection,['Western'],it,16.788787,"['United Artists', 'Constantin Film Produktion', 'Produzioni Europee Associati (PEA)', 'Arturo González Producciones Cinematográficas S.A.']",161.0,['Italiano'],"The Good, the Bad and the Ugly",8.1
1167,Star Wars Collection,"['Adventure', 'Action', 'Science Fiction']",en,14.586087,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",135.0,['English'],Return of the Jedi,7.9
1171,Alien Collection,"['Horror', 'Action', 'Thriller', 'Science Fiction']",en,23.37742,"['Twentieth Century Fox Film Corporation', 'Brandywine Productions']",117.0,"['English', 'Español']",Alien,7.9
1172,Evil Dead Collection,"['Fantasy', 'Horror', 'Comedy']",en,10.704612,"['Universal Pictures', 'Renaissance Pictures', 'Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company']",81.0,['English'],Army of Darkness,7.3
1176,Psycho Collection,"['Drama', 'Horror', 'Thriller']",en,36.826309,"['Paramount Pictures', 'Universal Pictures', 'Shamley Productions']",109.0,['English'],Psycho,8.3
1177,The Blues Brothers Collection,"['Music', 'Comedy', 'Action', 'Crime']",en,10.076901,['Universal Pictures'],133.0,['English'],The Blues Brothers,7.5
1178,The Godfather Collection,"['Drama', 'Crime']",en,36.629307,"['Paramount Pictures', 'The Coppola Company']",200.0,"['English', 'Italiano', 'Latin', 'Español']",The Godfather: Part II,8.3
1180,Wallace & Gromit Collection,"['Adventure', 'Animation', 'Comedy', 'Science Fiction', 'Family']",en,7.617298,['Aardman Animations'],23.0,['English'],A Grand Day Out,7.4
1190,The Sting Collection,"['Comedy', 'Crime', 'Drama']",en,12.016821,['Universal Pictures'],129.0,['English'],The Sting,7.9
